term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1164.9579668176796 1.1308671458294086 
logo_asm 	 3494.8739004530385 0.6050223467562018 
gif 	 150.27040400352286 1.4447973588861136 
subject 	 768.8460820398486 1.1308671458294086 
index 	 567.2751254106257 0.9290090697449582 
anthropology 	 3469.9072027519014 0.6050223467562018 
ant 	 3494.8739004530385 0.6050223467562018 
idx 	 183.94073160279152 1.7835633633307955 
html 	 34.17349080533515 1.8572595138056236 
architecture 	 1674.2682409802328 0.9290090697449582 
arc 	 1650.763100551989 0.9290090697449582 
art 	 369.1428497183248 1.5525444567396884 
black 	 1005.0064052303919 1.1308671458294086 
studies 	 698.74328985688 1.2687008440378114 
blk 	 3494.8739004530385 0.6050223467562018 
stu 	 3494.8739004530385 0.6050223467562018 
business 	 2370.9612723678256 0.6050223467562018 
bus 	 3324.925461089 0.6050223467562018 
ecology 	 3469.9072027519014 0.6050223467562018 
eco 	 3469.9072027519014 0.6050223467562018 
economics 	 3301.526201103978 0.6050223467562018 
ecn 	 3469.9072027519014 0.6050223467562018 
education 	 566.7251436481903 1.3688011571264773 
edu 	 2853.168880782324 0.6050223467562018 
film 	 3232.5618334131605 0.6050223467562018 
flm 	 3494.8739004530385 0.6050223467562018 
gen 	 624.3047598789042 1.3688011571264773 
healthcare 	 3445.177159774497 0.6050223467562018 
med 	 1710.3396636008833 0.9290090697449582 
history 	 410.40850575500554 1.504460237255773 
law 	 727.425555435527 1.1308671458294086 
linguistics 	 3445.177159774497 0.6050223467562018 
lin 	 3420.6793272017667 0.6050223467562018 
literature 	 84.0598701869842 1.8883609241624009 
lit 	 3469.9072027519014 0.6050223467562018 
mass 	 1476.5713988732991 0.9290090697449582 
media 	 2259.243899717566 0.6050223467562018 
mda 	 3494.8739004530385 0.6050223467562018 
medicine 	 3209.9729477163746 0.6050223467562018 
music 	 3348.5364819604656 0.6050223467562018 
mus 	 3469.9072027519014 0.6050223467562018 
philosophy 	 837.1341204901164 1.2687008440378114 
phi 	 3494.8739004530385 0.6050223467562018 
political 	 308.83505207696516 1.5525444567396884 
science 	 1426.584440391162 0.9290090697449582 
psi 	 3469.9072027519014 0.6050223467562018 
psychology 	 3445.177159774497 0.6050223467562018 
psy 	 3445.177159774497 0.6050223467562018 
religion 	 3324.925461089 0.6050223467562018 
rel 	 3469.9072027519014 0.6050223467562018 
sci 	 3372.3631315770444 0.6050223467562018 
shakespeare 	 1747.4369502265192 0.9290090697449582 
sha 	 1722.5885798872484 0.9290090697449582 
sociology 	 3469.9072027519014 0.6050223467562018 
soc 	 3469.9072027519014 0.6050223467562018 
sports 	 3301.526201103978 0.6050223467562018 
recreation 	 3372.3631315770444 0.6050223467562018 
spt 	 3396.4093847457907 0.6050223467562018 
urban 	 3324.925461089 0.6050223467562018 
urb 	 3494.8739004530385 0.6050223467562018 
women's 	 1662.4627305445 0.9290090697449582 
wom 	 3494.8739004530385 0.6050223467562018 
home 	 582.592326830759 0.9290090697449582 
page 	 640.3462253186945 0.9290090697449582 
topic 	 3445.177159774497 0.6050223467562018 
search 	 633.0747142163921 1.3688011571264773 
custom 	 1698.2046923728954 0.9290090697449582 
world 	 241.05832834008962 1.6776572998224704 
specific 	 1407.1139296835086 0.9290090697449582 
paper 	 748.5575652691184 1.2687008440378114 
click 	 1604.9864738581873 0.9290090697449582 
catalog 	 3420.6793272017667 0.6050223467562018 
button 	 3121.5237993945216 0.6050223467562018 
title 	 1507.509607845588 0.9290090697449582 
description 	 1593.788980212767 0.9290090697449582 
written 	 957.6198467616795 1.1308671458294086 
pgs 	 20.057267067930063 1.973695510075018 
pages 	 3035.9751516493384 0.6050223467562018 
footnotes 	 3469.9072027519014 0.6050223467562018 
sources 	 3035.9751516493384 0.6050223467562018 
price 	 2994.2302610764737 0.6050223467562018 
importance 	 2063.7349740746995 1.1308671458294086 
fate 	 4564.484153507994 0.9290090697449582 
romeo 	 3186.4525737944455 1.2687008440378114 
juliet 	 2998.8119420377716 1.2687008440378114 
examines 	 89.61215129366767 1.8883609241624009 
characters 	 545.4243239591669 1.7480929239821763 
suffer 	 10186.826774070189 0.6050223467562018 
understanding 	 3205.9075737946578 0.9290090697449582 
reality 	 3369.182893778158 0.9290090697449582 
due 	 2509.196970898636 0.9290090697449582 
implacable 	 15612.08975631288 0.6050223467562018 
hatred 	 9879.530834042684 0.6050223467562018 
families 	 3898.1121273052586 0.9290090697449582 
robinson 	 10937.389301096884 0.6050223467562018 
crusoe 	 15612.08975631288 0.6050223467562018 
defoe 	 13803.668762231982 0.6050223467562018 
looks 	 2263.882834903051 0.9290090697449582 
style 	 1602.9537868973289 1.2687008440378114 
theme 	 610.0037276667413 1.6987176550442473 
shipwreck 	 13803.668762231982 0.6050223467562018 
tale 	 2546.706693517547 1.2687008440378114 
anti 	 1012.7537997065076 1.3688011571264773 
semitism 	 10535.210177427567 0.6050223467562018 
french 	 704.020740431889 1.5921224578117497 
study 	 1055.1245236939867 1.1308671458294086 
semitic 	 11413.066242772313 0.6050223467562018 
undercurrents 	 13803.668762231982 0.6050223467562018 
gallic 	 15612.08975631288 0.6050223467562018 
